symbol,datetime,settleTime,fundingRate,price,volume,amount,marketCap,FDV,circRatio,turnoverRatio,fromATH(%),fromATL(%),openInterest,circulation,issue,volume24h
CLANKER,2025-06-20 19:00:00,1750420800000,-0.005408,31.3,286937.0,92423.2715,31300000.0,31300000.0,1.0,0.1581,-83.79,807672.31,,1000000.0,1000000.0,4950014.53106827
ARK,2024-12-30 15:00:00,1735545600000,-0.0067,0.5509,319122.0,1833315.985,105093067.63,105093067.63,1.0,0.0826,-94.95,1727.61,,190766142.0,190766142.0,8679033.93567431
ARK,2025-04-06 07:00:00,1743897600000,-0.005971,0.3179,1017134.0,3274439.2,60644556.54,60644556.54,1.0,0.1431,-97.09,954.63,,190766142.0,190766142.0,8679033.93567431
ARK,2025-04-08 11:00:00,1744084800000,-0.005768,0.3304,421813.0,1440183.331,63029133.32,63029133.32,1.0,0.1377,-96.97,996.1,,190766142.0,190766142.0,8679033.93567431
ARK,2025-04-17 11:00:00,1744862400000,-0.006694,0.5311,1103420.0,5779751.978,101315898.02,101315898.02,1.0,0.0857,-95.13,1661.92,,190766142.0,190766142.0,8679033.93567431
CESS,2025-06-27 19:00:00,1751025600000,-0.009921,0.002421,1126616.0,288523.7192,6415650.0,6415650.0,1.0,,,,,2650000000.0,2650000000.0,0.0
DMC,2025-06-26 07:00:00,1750896000000,-0.005383,0.004313,4253794.0,2003125.2114,13057327.25,55206400.0,0.2365,1.1756,-63.19,45.03,,3027435022.0,12800000000.0,15349575.80749848
AVAIL,2025-01-12 23:00:00,1736697600000,-0.017363,0.1158,614056.0,729354.011,396922914.86,1221798811.01,0.3249,0.0098,-52.53,605.42,,3427659023.0,10550939646.0,3892724.42052807
AVAIL,2025-06-20 15:00:00,1750406400000,-0.008409,0.0259,3014069.0,792739.0794,88776368.7,273269336.83,0.3249,0.0438,-89.38,57.77,,3427659023.0,10550939646.0,3892724.42052807
DUCK,2025-06-20 19:00:00,1750420800000,-0.006608,0.003065,8468.0,25556.858,16412702.08,28979202.08,0.5664,0.359,-76.65,55.95,,5354878330.0,9454878330.0,5892460.94471107
DUCK,2025-06-24 19:00:00,1750766400000,-0.01979,0.003464,362027.0,1466321.701,18549298.54,32751698.54,0.5664,0.3177,-73.61,76.25,,5354878330.0,9454878330.0,5892460.94471107
DRIFT,2024-11-08 15:00:00,1731052800000,-0.015,0.8123,4543380.0,39107858.984,282230816.46,812300000.0,0.3474,0.0585,-69.38,712.27,,347446530.179005,1000000000.0,16520721.91375639
CTSI,2024-04-27 23:00:00,1714233600000,-0.007669,0.2124,14114119.0,3010035.7068,186478094.62,212400000.0,,,,,,0.0,1000000000.0,0.0
EDU,2025-04-07 23:00:00,1744041600000,-0.00855,0.1368,84238882.0,11900696.5374,56185946.75,136800000.0,0.4107,0.0804,-91.88,45.21,,410715985.0,1000000000.0,4514804.0364761
BROCCOLI,2025-02-14 19:00:00,1739534400000,-0.005,0.15424,40362028.0,63076327.6185,149969913.18,154240000.0,0.9723,0.0746,-45.91,715.52,,972315308.4577762,1000000000.0,11181419.63652547
BROCCOLI,2025-03-20 03:00:00,1742414400000,-0.014195,0.06661,29030177.0,20423908.9459,64765922.7,66610000.0,0.9723,0.1726,-76.64,252.19,,972315308.4577762,1000000000.0,11181419.63652547
BROCCOLI,2025-03-28 03:00:00,1743105600000,-0.012872,0.0692,24463156.0,18517210.1421,67284219.35,69200000.0,0.9723,0.1662,-75.73,265.88,,972315308.4577762,1000000000.0,11181419.63652547
AGLD,2024-11-13 15:00:00,1731484800000,-0.02,2.2371,180359474.0,43592077.42696,172950203.24,207625253.24,0.833,0.1262,-70.67,973.04,,77310001.0,92810001.0,21829653.86214953
ENA,2024-06-08 03:00:00,1717790400000,-0.005998,0.8841,207023.0,1831910.851,5854399687.5,13261500000.0,0.4415,0.1012,-41.72,352.76,,6621875000.0,15000000000.0,592519705.9530262
ENJ,2025-04-21 07:00:00,1745193600000,-0.005235,0.092,75318539.0,6787123.7981,172362589.71,176599185.03,0.976,0.0774,-98.1,489.0,,1873506409.850853,1919556359.0121813,13337934.95954251
DIA,2025-07-20 03:00:00,1752955200000,-0.005476,0.5563,7263242.0,3913645.5627,66575816.66,,,,,,,0.0,0.0,0.0
FIDA,2025-03-11 03:00:00,1741636800000,-0.006925,0.108,663486.0,735782.324,107018426.13,107018426.13,1.0,0.1058,-99.82,104.89,,990911353.035271,990911353.035271,11323069.62814956
FIO,2025-02-27 23:00:00,1740672000000,-0.02,0.02698,3568759.0,10301262.162,22032012.89,22642769.93,0.973,0.204,-95.26,151.12,,816605370.0973754,839242769.7719939,4493949.46068086
COW,2025-02-25 19:00:00,1740484800000,-0.02,0.4399,5119490.0,22130637.086,221813781.7,439900000.0,0.5042,0.0462,-63.55,994.86,,504236830.4073419,1000000000.0,10237918.18568365
